('麟凤龟龙', '兔角龟毛')
('兔角龟毛', '无待蓍龟')
('无待蓍龟', '犀顶龟文')
('犀顶龟文', '悬龟系鱼')
('悬龟系鱼', '援鳖失龟')
('援鳖失龟', '凿龟数策')
('凿龟数策', '证龟成鳖')
('班功行赏', '不赏之功')
('不赏之功', '称赏不已')
('称赏不已', '功高不赏')
('功高不赏', '孤芳自赏')
('孤芳自赏', '果刑信赏')
('果刑信赏', '横恩滥赏')
('横恩滥赏', '击节称赏')
('击节称赏', '击节叹赏')
('击节叹赏', '计功受赏')
('计功受赏', '计功行赏')
('计功行赏', '计勋行赏')
('计勋行赏', '僭赏滥刑')
('僭赏滥刑', '僭赏滥刑')
('僭赏滥刑', '犒赏三军')
('犒赏三军', '论功封赏')
('论功封赏', '论功受赏')
('论功受赏', '论功行赏')
('论功行赏', '明赏不费')
('明赏不费', '目不给赏')
('目不给赏', '奇文共赏')
('奇文共赏', '赏不当功')
('赏不当功', '赏不逾日')
('赏不逾日', '赏不逾时')
('赏不逾时', '赏罚不明')
('赏罚不明', '赏罚分明')
('赏罚分明', '赏罚信明')
('赏罚信明', '赏罚严明')
('赏罚严明', '赏高罚下')
('赏高罚下', '赏功罚罪')
('赏功罚罪', '赏劳罚罪')
('赏劳罚罪', '赏立诛必')
('赏立诛必', '赏奇析疑')
('赏奇析疑', '赏善罚恶')
('赏善罚恶', '赏善罚否')
('赏善罚否', '赏同罚异')
('赏同罚异', '赏贤罚暴')
('赏贤罚暴', '赏贤使能')
('赏贤使能', '赏心乐事')
('赏心乐事', '赏心悦目')
('赏心悦目', '赏信罚必')
('赏信罚必', '赏信罚明')
('赏信罚明', '赏一劝百')
('赏一劝百', '赏一劝众')
('赏一劝众', '信赏必罚')
('信赏必罚', '雅俗共赏')
('雅俗共赏', '邀功求赏')
('邀功求赏', '以誉为赏')
('以誉为赏', '有目共赏')
('有目共赏', '悦目赏心')
('悦目赏心', '照功行赏')
('插科使砌', '雕栏玉砌')
('雕栏玉砌', '雕阑玉砌')
('雕阑玉砌', '粉妆玉砌')
('粉妆玉砌', '砌词捏控')
('砌词捏控', '砌红堆绿')
('砌红堆绿', '琼堆玉砌')
('琼堆玉砌', '玉砌雕阑')
('截发剉穢', '摇头穢脑')
('白虹贯日', '虹销雨霁')
('虹销雨霁', '气贯长虹')
('气贯长虹', '气吞虹蝩')
('卑躬屈膝', '婢膝奴颜')
('婢膝奴颜', '承欢膝下')
('承欢膝下', '促膝谈心')
('促膝谈心', '凫胫鹤膝')
('凫胫鹤膝', '鹤膝蜂腰')
('鹤膝蜂腰', '加膝坠泉')
('加膝坠泉', '加膝坠渊')
('加膝坠渊', '奴颜婢膝')
('奴颜婢膝', '容膝之地')
('容膝之地', '吾膝如铁')
('吾膝如铁', '膝行匍伏')
('膝行匍伏', '膝行蒲伏')
('膝行蒲伏', '膝行肘步')
('膝行肘步', '膝语蛇行')
('膝语蛇行', '鸢肩羔膝')
('鸢肩羔膝', '肘行膝步')
('放荡形骸', '放浪形骸')
('放浪形骸', '迷恋骸骨')
('迷恋骸骨', '四体百骸')
('四体百骸', '四肢百骸')
('四肢百骸', '土木形骸')
('土木形骸', '析骸以爨')
('析骸以爨', '析骸易子')
('析骸易子', '相忘形骸')
('相忘形骸', '易子析骸')
('八窗玲珑', '八面玲珑')
('八面玲珑', '娇小玲珑')
('娇小玲珑', '玲珑剔透')
